name	group
Elizabeth Warren	Democrat
Martin Heinrich	Democrat
Angus S. King, Jr.	Independent
William M. Cowan	Democrat
Mark L. Pryor	Democrat
Robert P. Casey, Jr.	Democrat
Jon Tester	Democrat
Bob Corker	Republican
Rob Portman	Republican
Claire McCaskill	Democrat
Sheldon Whitehouse	Democrat
John Thune	Republican
Richard Burr	Republican
Debbie Stabenow	Democrat
Carl Levin	Democrat
Frank R. Lautenberg	Democrat
Patrick J. Leahy	Democrat
Mike Crapo	Republican
Bill Nelson	Democrat
Kay R. Hagan	Democrat
Jeanne Shaheen	Democrat
Jeff Merkley	Democrat
John Hoeven	Republican
John D. Rockefeller, IV	Democrat
Joe Donnelly	Democrat
Tim Kaine	Democrat
John McCain	Republican
Jerry Moran	Republican
Mitch McConnell	Republican
Bernard Sanders	Independent
Mark Udall	Democrat
Mark Kirk	Republican
Rand Paul	Republican
Mike Lee	Republican
Amy Klobuchar	Democrat
Mazie K. Hirono	Democrat
Marco Rubio	Republican
Ron Wyden	Democrat
Sherrod Brown	Democrat
Jeff Flake	Republican
Al Franken	Democrat
Michael F. Bennet	Democrat
Tim Johnson	Democrat
Charles E. Schumer	Democrat
Daniel Coats	Republican
Dianne Feinstein	Democrat
Dean Heller	Republican
Kirsten E. Gillibrand	Democrat
Richard J. Durbin	Democrat
Pat Roberts	Republican
Barbara A. Mikulski	Democrat
Tom Coburn	Republican
Thad Cochran	Republican
Chuck Grassley	Republican
James M. Inhofe	Republican
Lindsey Graham	Republican
Roger F. Wicker	Republican
Barbara Boxer	Democrat
Robert Menendez	Democrat
Mike Johanns	Republican
Mark Begich	Democrat
Mark R. Warner	Democrat
James E. Risch	Republican
Harry Reid	Democrat
Mary L. Landrieu	Democrat
Michael B. Enzi	Republican
Susan M. Collins	Republican
Tom Harkin	Democrat
Saxby Chambliss	Republican
Jeff Sessions	Republican
Brian Schatz	Democrat
Max Baucus	Democrat
Lamar Alexander	Republican
Lisa Murkowski	Republican
John Cornyn	Republican
Ted Cruz	Republican
Heidi Heitkamp	Democrat
Roy Blunt	Republican
Deb Fischer	Republican
Richard Blumenthal	Democrat
Kelly Ayotte	Republican
Orrin G. Hatch	Republican
Jack Reed	Democrat
John Barrasso	Republican
Johnny Isakson	Republican
David Vitter	Republican
Tom Udall	Democrat
Tammy Baldwin	Democrat
Richard C. Shelby	Republican
John Boozman	Republican
Ron Johnson	Republican
Thomas R. Carper	Democrat
Patrick J. Toomey	Republican
Maria Cantwell	Democrat
Benjamin L. Cardin	Democrat
Jeff Chiesa	Republican
Cory A. Booker	Democrat
John E. Walsh	Democrat
Edward J. Markey	Democrat
Christopher Murphy	Democrat
Tim Scott	Republican
Patty Murray	Democrat
John F. Kerry	Democrat
Christopher A. Coons	Democrat
Joe Manchin, III	Democrat
